Name,Type,Background,Background_Hex,Background_Pattern,Hair,Eyes,Skin_Tone,Headwear,Facial_Hair,Accessories,Clothing,Lips,Training_Caption,Review_Status
lad_001_carbon,Male,brick/checkered red-brown,"#c06148, #a76857",checkered,brown,brown,tan,dark grey hat with gold badge,,,,,"24x24 pixel art portrait, brick/checkered red-brown checkered background (#c06148, #a76857), brown hair, brown eyes, tan skin, wearing dark grey hat with gold badge",REVIEWED
lad_002_cash,Male,bright green,#6ae745,solid,white/grey with green tones,covered by black sunglasses,pale grey,,,black sunglasses,black suit/tie,,"24x24 pixel art portrait, bright green background (#6ae745), white/grey with green tones hair, covered by black sunglasses eyes, pale grey skin, black sunglasses, black suit/tie",REVIEWED
lad_003_chai,Male,tan/brown,#e3b68d,solid,white/cream fluffy,brown,brown,brown hat with white band,,,green and white checkered top,,"24x24 pixel art portrait, tan/brown solid background (#e3b68d), white/cream fluffy hair, brown eyes, brown skin, wearing brown hat with white band, green and white checkered top",REVIEWED
lad_004_silicon,Male,grey,#bababa,solid,grey,grey,pale grey,,,grey tie,grey suit with tie,,"24x24 pixel art portrait, grey solid background (#bababa), grey hair, grey eyes, pale grey skin, grey tie, grey suit with tie",REVIEWED
lad_005_copper,Male,brown and yellow,#876f66,checkered,brown,brown,light,,brown mustache,,,,"24x24 pixel art portrait, brown and yellow checkered background (#876f66), brown hair, brown eyes, light skin, brown mustache",REVIEWED
lad_006_redshift,Male,brown/mauve,#7d6364,solid,dark blue/navy,blue,peach/light,,,,,,"24x24 pixel art portrait, brown/mauve solid background (#7d6364), dark blue/navy hair, blue eyes, peach/light skin",REVIEWED
lad_007_titanium,Male,dark grey,#57555a,solid,black,brown,light/pink,,5 o'clock shadow,,,,"24x24 pixel art portrait, dark grey solid background (#57555a), black hair, brown eyes, light/pink skin, 5 o'clock shadow",REVIEWED
lad_008_platinum,Male,"multi-colored gradient (cyan, red, orange, blue)","#d0f9f3, #af3a30, #fcc084, #156af8",gradient,black,grey/multi,light/pink,,scruff,"face crack/scar, scruff",,,"24x24 pixel art portrait, multi-colored gradient (cyan, red, orange, blue) gradient background (#d0f9f3, #af3a30, #fcc084, #156af8), black hair, grey/multi eyes, light/pink skin, face crack/scar, scruff, scruff",REVIEWED
lad_009_steel,Male,blue,#6072ff,solid,black/grey with blue tones,brown,light/grey,,scruff,"glasses, tie, scruff",suit with tie,,"24x24 pixel art portrait, blue solid background (#6072ff), black/grey with blue tones hair, brown eyes, light/grey skin, glasses, tie, scruff, scruff, suit with tie",REVIEWED
lad_010_aluminum,Male,cyan/light blue,#3bb8ff,solid,red (under hat),brown,light/pink,red hat/cap,scruff,"glasses, scruff",orange top,,"24x24 pixel art portrait, cyan/light blue background (#3bb8ff), red (under hat) hair, brown eyes, light/pink skin, wearing red hat/cap, glasses, scruff, scruff, orange top",REVIEWED
lad_011_chocolate,Male,cream to coral gradient,"#f2f1d4, #ff7162",gradient,black/grey,brown,tan/brown,,beard,,brown checkered collar,,"24x24 pixel art portrait, cream to coral gradient gradient background (#f2f1d4, #ff7162), black/grey hair, brown eyes, tan/brown skin, beard, brown checkered collar",REVIEWED
lad_012_chromium,Male,light grey/eggshell,#ebe6ea,gradient,ash grey/brown,blue,pale/pink,,scruff,,,,"24x24 pixel art portrait, light grey/eggshell gradient background (#ebe6ea), ash grey/brown hair, blue eyes, pale/pink skin, scruff",REVIEWED
lad_013_caramel,Male,"multi-colored split (blue, white, red)","#1c467e, #f3f3f3, #ce4b26",split,black,black,olive/tan,,,,blue top,,"24x24 pixel art portrait, multi-colored split (blue, white, red) split background (#1c467e, #f3f3f3, #ce4b26), black hair, black eyes, olive/tan skin, blue top",REVIEWED
lad_014_sugar,Male,blue,#0153fd,solid,brown/red,blue,light/pink,,,,white checkered collar,,"24x24 pixel art portrait, blue background (#0153fd), brown/red hair, blue eyes, light/pink skin, white checkered collar",REVIEWED
lad_015_jackson,Male,bright green,#6ae745,solid,white/grey fluffy (zombie-like),covered by black sunglasses,pale grey/white,,,black sunglasses,grey/black suit,,"24x24 pixel art portrait, bright green background (#6ae745), white/grey fluffy (zombie-like) hair, covered by black sunglasses eyes, pale grey/white skin, black sunglasses, grey/black suit",REVIEWED
lad_016_tungsten,Male,bright green,#6ae745,solid,grey/white pixelated/blocky,covered by black sunglasses,pale grey with pixelated/checkered pattern,,,black sunglasses,grey pixelated pattern,,"24x24 pixel art portrait, bright green background (#6ae745), grey/white pixelated/blocky hair, covered by black sunglasses eyes, pale grey with pixelated/checkered pattern skin, black sunglasses, grey pixelated pattern",REVIEWED
lad_017_ink,Male,bright green,#6ae745,solid,white/grey checkered pixelated,covered by black sunglasses,pale grey/white,,,black sunglasses,black suit,,"24x24 pixel art portrait, bright green background (#6ae745), white/grey checkered pixelated hair, covered by black sunglasses eyes, pale grey/white skin, black sunglasses, black suit",REVIEWED
lad_018_mandarin,Male,light green/sage,#c2e19e,solid,dark grey/black,grey,light/pink,grey helmet/cap,,,"dark blue with colorful checkered pattern (cyan, yellow, red, blue)",,"24x24 pixel art portrait, light green/sage background (#c2e19e), dark grey/black hair, grey eyes, light/pink skin, wearing grey helmet/cap, dark blue with colorful checkered pattern (cyan, yellow, red, blue)",REVIEWED
lad_019_diamond,Male,bright green/turquoise,"#18d788, #05db73",solid,brown,cyan/teal,light/pink,,,,cyan and white checkered collar,,"24x24 pixel art portrait, bright green/turquoise background (#18d788, #05db73), brown hair, cyan/teal eyes, light/pink skin, cyan and white checkered collar",REVIEWED
lad_020_gpu,Male,sage/grey-green,#93ac92,solid,blonde/tan wavy,brown,light/pink,,,,black and white checkered collar,,"24x24 pixel art portrait, sage/grey-green background (#93ac92), blonde/tan wavy hair, brown eyes, light/pink skin, black and white checkered collar",REVIEWED
lad_021_x,Male,bright green striped/gradient,"#94eb9d, #14c833",striped,dark grey/black,brown,light/pink,dark helmet with white X logo,,,,,"24x24 pixel art portrait, bright green striped/gradient striped background (#94eb9d, #14c833), dark grey/black hair, brown eyes, light/pink skin, wearing dark helmet with white X logo",REVIEWED
lad_022_x,Male,bright green striped/gradient,"#14c833, #94eb9d",striped,black/tan,brown/tan,tan/brown,white headband,,gold necklace,,,"24x24 pixel art portrait, bright green striped/gradient striped background (#14c833, #94eb9d), black/tan hair, brown/tan eyes, tan/brown skin, wearing white headband, gold necklace",REVIEWED
lad_023_x,Male,cyan/turquoise striped/gradient,"#6ed7db, #3ffe9e",striped,grey pixelated/checkered,brown,light/pink,,,,,,"24x24 pixel art portrait, cyan/turquoise striped/gradient striped background (#6ed7db, #3ffe9e), grey pixelated/checkered hair, brown eyes, light/pink skin",REVIEWED
lad_023_x-2,Male,cyan/turquoise striped/gradient,"#6ed7db, #3ffe9e",striped,grey pixelated/checkered,brown,light/pink,green and white checkered crown/headband,,,black suit/tie,,"24x24 pixel art portrait, cyan/turquoise striped/gradient striped background (#6ed7db, #3ffe9e), grey pixelated/checkered hair, brown eyes, light/pink skin, wearing green and white checkered crown/headband, black suit/tie",REVIEWED
lad_023_x-3,Male,cyan/turquoise striped/gradient,"#6ed7db, #3ffe9e",striped,grey pixelated/checkered,brown,light/pink,"colorful pixelated crown (green, red/magenta, orange, blue)",,,black suit/tie,,"24x24 pixel art portrait, cyan/turquoise striped/gradient striped background (#6ed7db, #3ffe9e), grey pixelated/checkered hair, brown eyes, light/pink skin, wearing colorful pixelated crown (green, red/magenta, orange, blue), black suit/tie",REVIEWED
lad_023_x-4,Male,cyan/turquoise striped/gradient,"#6ed7db, #3ffe9e",striped,grey pixelated/checkered,brown,light/pink,green pixelated crown/headband,,,black suit/tie,,"24x24 pixel art portrait, cyan/turquoise striped/gradient striped background (#6ed7db, #3ffe9e), grey pixelated/checkered hair, brown eyes, light/pink skin, wearing green pixelated crown/headband, black suit/tie",REVIEWED
lad_024_x,Male,purple,#220796,solid,black,dark purple/brown,tan/brown,dark helmet with light purple X logo,beard,,white and light purple checkered collar,,"24x24 pixel art portrait, purple background (#220796), black hair, dark purple/brown eyes, tan/brown skin, wearing dark helmet with light purple X logo, beard, white and light purple checkered collar",REVIEWED
lad_025_x,Male,light purple/grey,#c2bbcd,solid,black,brown,tan/brown,dark helmet with orange X logo,beard,,white and light blue checkered collar,,"24x24 pixel art portrait, light purple/grey background (#c2bbcd), black hair, brown eyes, tan/brown skin, wearing dark helmet with orange X logo, beard, white and light blue checkered collar",REVIEWED
lad_026_chromiumabstractsalmon,Male,bright green,#3ffe9e,solid,dark grey/black spiky pixelated,blue/cyan,pale grey/white,,,,pink/salmon top,,"24x24 pixel art portrait, bright green background (#3ffe9e), dark grey/black spiky pixelated hair, blue/cyan eyes, pale grey/white skin, pink/salmon top",REVIEWED
lad_027_chromiumabstractyellow,Male,bright green,#3ffe9e,solid,dark grey/black spiky pixelated,blue/cyan,pale grey/white,,,,yellow/tan top,,"24x24 pixel art portrait, bright green background (#3ffe9e), dark grey/black spiky pixelated hair, blue/cyan eyes, pale grey/white skin, yellow/tan top",REVIEWED
lad_028_chromiumabstractgreen,Male,bright green,#3ffe9e,solid,dark grey/black spiky pixelated,blue/cyan,pale grey/white,,,,grey/green top,,"24x24 pixel art portrait, bright green background (#3ffe9e), dark grey/black spiky pixelated hair, blue/cyan eyes, pale grey/white skin, grey/green top",REVIEWED
lad_029_famous-9,Male,blue,#1831cf,solid,brown/black pixelated,covered by colorful visor/glasses,light,,,"colorful pixelated visor/glasses (green, yellow, orange, magenta)",orange top,,"24x24 pixel art portrait, blue background (#1831cf), brown/black pixelated hair, covered by colorful visor/glasses eyes, light skin, colorful pixelated visor/glasses (green, yellow, orange, magenta), orange top",REVIEWED
lad_029_famous4,Male,yellow/tan gradient,"#ead582, #dfb065",gradient,brown/black pixelated,green pixelated,light,,black mustache,cigarette holder,orange top,,"24x24 pixel art portrait, yellow/tan gradient gradient background (#ead582, #dfb065), brown/black pixelated hair, green pixelated eyes, light skin, cigarette holder, black mustache, orange top",REVIEWED
lad_030_ink,Male,dark grey,#5e5c5f,solid,black afro,grey,dark/brown,,grey scruff,,red top with dark grey/black vest,,"24x24 pixel art portrait, dark grey background (#5e5c5f), black afro hair, grey eyes, dark/brown skin, grey scruff, red top with dark grey/black vest",REVIEWED
