Duplicate?,Name,Description,Type,Status,Character,Background,Hair,Eyes,,,,Props,Owner Name,Owner Wallet,Description 1,Desciption 2
,lady_000_lemon,Portrait of a Picture. Rosie the Riveter,Female,Legend,Rosie the Riveter,Yellow,Brown,Purple,,,,Headband,,,"Bespoke: 24x24 grid, Yellow (#F8E701) background, Red/white bandana (190,103,98/245,198,136), Black pupils (8,12)/(13,12), Blue eyes, Black nose (11,13), Orange-red lips (246,155,150), Dark hair (42,50,73), Light skin (232,175,130), 14px width","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_000_lemon.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
,lady_001_hazelnut,Self portrait.,Female,Legend,,Green,Brown,Green,,,,"Earrings, Necklace, Bow",,,"Bespoke: 24x24 grid, Dark green background, Brown hair with pink accessory (255,20,147), Green eyes, Light skin tone, Standard features, Pink hair accent","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_001_hazelnut.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
,lady_002_vanilla,Portrait of a Picture.,Female,Legend,,Blue,Blonde,Blue,,,,"Earrings, Necklace",Johanna,,"Bespoke: 24x24 grid, Light blue background, Blonde wavy hair (210,180,140), Gray-green eyes, Light skin tone, 16px width, Side-swept hairstyle","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_002_vanilla.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
,lady_003_cashew,Portrait of a Picture.,Female,Legend,,Grey,Black,Brown,,,,"Earrings, Necklace",Christine,,"Bespoke: 24x24 grid, Gray background, Black hair with gold checkerboard accent, Brown eyes, Light skin, Red lips, White collar","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_003_cashew.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
,lady_004_nutmeg,Portrait of a Picture. Issa Rae,Female,Legend,Issa Rae,Orange,Black,Brown,,,,Earrings,,,"Bespoke: 24x24 grid, Peach background, Black hair with gold accent, Dark skin (139,69,19), Red-brown eyes, Natural lips, Yellow detailing","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_004_nutmeg.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
,lady_005_cinnamon,Portrait of a Picture. Beth Dutton,Female,Legend,Beth Dutton,Brown,Red,Green,,,,Necklace,,,"Bespoke: 24x24 grid, Brown background, Light brown wavy hair, Green eyes, Light skin tone, Gold accent, Natural makeup","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_005_cinnamon.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
,lady_006_pepper,Portrait of a Picture. Cruella de Vil,Female,Legend,Cruella de Vil,Multi,Black/White,Green,,,,Earrings,,,"Bespoke: 24x24 grid, Black background, Black/white split hair, Green eyes, Pale skin (255,255,255), Red lips, Dramatic contrast","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_006_pepper.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
,lady_007_alloy,Portrait of a Picture. 7 of 9,Female,Legend,7 of 9,Purple,Blonde,Blue,,,,Ocular Implant,,,"Bespoke: 24x24 grid, Purple background, Light brown hair, Blue eyes, Light skin tone, Pink lips, Short styled cut","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_007_alloy.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
,lady_008_pinksilk,Portrait of a Picture. Holly Go Lightly,Female,Legend,Holly Go Lightly,Pink,Brown,Brown,,,,"Earrings, Necklace, Crown, Cig Holder",,,"Bespoke: 24x24 grid, Pink background, Brown hair with white tiara, Amber eyes, Light skin tone, White dress details","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_008_pinksilk.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
,lady_009_bluesilk,Portrait of a Picture. Holly Go Lightly,Female,Legend,Holly Go Lightly,Blue,Brown,Sunglasses,,,,"Earrings, Necklace, Crown",,,"Bespoke: 24x24 grid, Mint background, Same as #9 with black sunglasses overlay, White tiara, White dress","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_009_bluesilk.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
